rank,title,totalGross,maxTheaters,openingDate,simplePR
419,Low Down,54051,8,10/24/14,6756
420,"1,000 Times Good Night",53895,24,10/24/14,2246
421,At Middleton,53837,20,01/31/14,2692
422,Ping Pong Summer,52909,17,06/06/14,3112
423,To Be Takei,52823,22,08/22/14,2401
424,Young and Beautiful,52804,8,04/25/14,6601
425,The Missing Picture,52164,9,03/19/14,5796
426,Hateship Loveship,51610,15,04/11/14,3441
427,The Principle,51207,3,10/24/14,17069
428,The Retrieval,50257,5,03/14/14,10051
429,The Discoverers,50020,4,05/16/14,12505
430,NOW: In the Wings on a World Stage,49591,3,05/02/14,16530
432,Lucky Them,48995,9,05/30/14,5444
433,The Internet's Own Boy,48911,12,06/27/14,4076
434,A Birder's Guide to Everything,48713,8,03/21/14,6089
435,American Mustang,48700,3,01/17/14,16233
436,Viva La Liberta,48541,10,11/07/14,4854
437,Decoding Annie Parker,48390,13,05/02/14,3722
438,Alphaville (2013 re-release),47696,2,02/07/14,23848
439,A Master Builder,46874,4,07/23/14,11719
440,Sagrada: The Mystery of Creation,46104,5,09/12/14,9221
441,Filmistaan,45406,24,06/06/14,1892
442,Return to The Hiding Place,45405,5,05/23/14,9081
443,Ai Weiwei: The Fake Case,45255,8,05/16/14,5657
444,There's No Place Like Utopia,45254,5,07/18/14,9051
445,The Dog,44581,16,08/08/14,2786
446,If You Build It,43393,5,01/10/14,8679
447,Next Goal Wins,43089,10,04/25/14,4309
448,Monk With a Camera,42877,4,11/21/14,10719
449,Interior. Leather Bar.,42534,2,01/03/14,21267
450,Blood Ties (2014),42472,28,03/21/14,1517
451,The Last Of The Unjust,40563,8,02/07/14,5070
452,Teenage,40169,4,03/14/14,10042
453,Child of God,39324,8,08/01/14,4916
454,Expedition to the End of the World,39115,4,08/20/14,9779
455,7 Boxes,38106,7,02/07/14,5444
456,Dead Snow 2: Red vs. Dead,37473,25,10/10/14,1499
457,Not Cool,36026,1,09/19/14,36026
458,Le Jour Se Leve (2014 re-release),35321,3,11/14/14,11774
459,That Man From Rio,35144,2,08/22/14,17572
460,Beneath the Harvest Sky,34768,10,04/25/14,3477
461,This Ain't No Mouse Music!,34754,6,09/19/14,5792
462,Tiger & Bunny The Movie: The Rising,34471,18,03/14/14,1915
463,Filth,34411,5,05/30/14,6882
464,Rocks in my Pockets,34236,3,09/03/14,11412
465,White Bird in a Blizzard,33821,14,10/24/14,2416
466,It Felt Like Love,33817,3,03/21/14,11272
467,Big Bad Wolves,33232,7,01/17/14,4747
468,A Field in England,32846,13,02/07/14,2527
469,For a Woman,32286,4,05/02/14,8072
470,The Hero of Color City,32188,69,10/03/14,466
471,Abuse of Weakness,31611,5,08/15/14,6322
472,Documented,30662,3,05/02/14,10221
473,Happy Christmas,30312,9,07/25/14,3368
474,Southern Baptist Sissies,30160,3,02/21/14,10053
475,A Long Way Off,30104,15,05/16/14,2007
476,Manakamana,30029,4,04/18/14,7507
477,Yellow Day,29144,1,09/19/14,29144
478,Othello (2014 re-release),28980,4,04/25/14,7245
479,Why Don't You Play in Hell,28534,11,11/07/14,2594
480,Stations of the Elevated,28516,1,10/17/14,28516
481,Closed Curtain,28098,5,07/09/14,5620
482,The King and the Mockingbird,27513,8,11/21/14,3439
483,Lilting,27054,9,09/26/14,3006
484,Last Weekend,26111,8,08/29/14,3264
485,Elena (2014),25788,2,05/30/14,12894
486,Christian Mingle,25480,15,10/10/14,1699
487,Bird People,25209,7,09/12/14,3601
488,Born to Fly: Elizabeth Streb vs. Gravity,24630,3,09/10/14,8210
489,Jimmy P,24329,8,02/14/14,3041
490,Level Five,24309,2,08/15/14,12155
491,Happy Valley (2014),23868,4,11/21/14,5967
492,Believe Me,23419,14,09/26/14,1673
493,A Tale of Winter (Conte d'hiver),23268,3,12/19/14,7756
494,Video Games: The Movie,23043,25,07/18/14,922
495,Grand Piano,22555,10,03/07/14,2256
496,May in the Summer,22004,8,08/22/14,2751
497,Bright Days Ahead,21770,6,04/25/14,3628
498,The Decent One,21327,2,10/01/14,10664
499,Memphis,21232,5,09/05/14,4246
500,The Sacrifice,20945,2,11/12/14,10473
501,Lekar Hum Deewana Dil,20874,50,07/04/14,417
502,The Past is a Grotesque Animal,20056,10,06/20/14,2006
503,Adult World,19731,11,02/14/14,1794
504,A Picture of You,19480,1,06/20/14,19480
505,Guardian Angel,19480,2,10/17/14,9740
